"filename", "language", "Python", "SQL", "comment", "blank", "total"
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\TAMTasks.sql", "SQL", 0, 71, 95, 12, 178
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\passengerTasks.sql", "SQL", 0, 46, 9, 8, 63
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\superAdminTasks.sql", "SQL", 0, 37, 9, 2, 48
"g:\Term6\Database Design Principles\Project\Code\Queries\Tasks\userTasks.sql", "SQL", 0, 17, 2, 1, 20
"g:\Term6\Database Design Principles\Project\Code\Queries\createTables.sql", "SQL", 0, 1, 1, 0, 2
"g:\Term6\Database Design Principles\Project\Code\Queries\enums.sql", "SQL", 0, 2, 2, 0, 4
"g:\Term6\Database Design Principles\Project\Code\Queries\insert.sql", "SQL", 0, 70, 8, 9, 87
"g:\Term6\Database Design Principles\Project\Code\Queries\triggerFunctions.sql", "SQL", 0, 44, 5, 0, 49
"g:\Term6\Database Design Principles\Project\Code\main.py", "Python", 13, 0, 9, 3, 25
"g:\Term6\Database Design Principles\Project\Code\test.py", "Python", 2, 0, 0, 1, 3
"Total", "-", 15, 288, 140, 36, 479